os_id,placa,base,regra,est_algoritmo_min,rampa_real_min,pronta_real_min,n_pecas,pecas
34590,QSS6F34,1,C3_TEMPO_ALTO,130,66,107,10,"Rolamento inferior da direção x1 | Usb 5W - CPX x1 | Suporte do pedal esquerdo do passageiro x1 | Amortecedor traseiro x1 | Garfo dianteiro x1 | Pista do rolamento inferior  x1 | Rolamento da roda x2 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Usb 18W - COMFORT x1"
34650,UOH5D70,1,C3_TEMPO_ALTO,156,64,94,8,"Rolamento superior completo da direção x1 | Retentor da roda x1 | Rolamento da roda x2 | Guidão x1 | Carenagem dianteira direita COMFORT x1 | Rolamento inferior da direção x1 | Garfo dianteiro x1 | Pista do rolamento inferior  x1"
34672,TLB2E47,1,C4_CAPACIDADE,99,118,154,5,"Suporte do paralama x1 | Pastilha de freio traseiro x1 | Motor 4300W_v2 x1 | Pastilha de freio dianteiro x1 | Motor 4300W_v1 x1"
34732,TKC8F25,1,C3_TEMPO_ALTO,122,49,152,7,"Rolamento inferior da direção x1 | Garfo dianteiro x1 | Disco de freio dianteiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1 | Rolamento superior completo da direção x1 | Pastilha de freio dianteiro x1"
34734,TMB4I03,34,C2_SEM_ESTOQUE,22,15,30,2,"Chapa do baú x2 | Bau 93L x1"
34762,UGP1C97,1,C4_CAPACIDADE,120,80,121,9,"Pastilha de freio traseiro x1 | Roda traseira_v1 x1 | Rolamento da tampa do motor l/roda x1 | Tampa do motor COMFORT v1 x1 | Pastilha de freio dianteiro x1 | Rolamento 6305 TIMKEN - Tampa do Motor COMFORT V2 x1 | Pneu traseiro x1 | Roda traseira_v2 x1 | Tampa do motor COMFORT v2 x1"
34777,TKT7I93,34,C4_CAPACIDADE,59,72,135,4,"Pneu traseiro x1 | Pastilha de freio dianteiro x1 | Tampa do motor COMFORT v1 x1 | Disco de freio dianteiro x1"
34889,TJO1C32,34,C4_CAPACIDADE,52,35,80,6,"Sensor descanso x1 | Válvula pneu x1 | Conjunto do acelerador x1 | Descanso lateral x1 | Sensor de freio traseiro x1 | Disco de freio dianteiro x1"
34894,TKD8C17,34,C4_CAPACIDADE,96,105,142,6,"Pastilha de freio dianteiro x1 | Retentor da roda x4 | Rolamento da roda x4 | Pastilha de freio traseiro x1 | Carenagem dianteira direita COMFORT x1 | Pneu dianteiro x1"
34898,UDB1G31,1,C3_TEMPO_ALTO,171,61,95,11,"Rolamento inferior da direção x1 | Amortecedor traseiro x1 | Garfo dianteiro x1 | Manete de freio traseiro x1 | Pista do rolamento inferior  x1 | Pneu traseiro x1 | Rolamento da roda x2 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Descanso lateral x1 | Pastilha de freio dianteiro x1"
34904,TLL3D22,34,C3_TEMPO_ALTO,155,116,156,13,"Pastilha de freio dianteiro x1 | Paralama traseiro x1 | Rolamento da roda x2 | Refletor do paralama traseiro x1 | Pneu traseiro x1 | Retentor da roda x2 | Rolamento superior completo da direção x1 | Suporte do pedal direito do passageiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1 | Manete de freio traseiro x1 | Garfo dianteiro x1 | Suporte do paralama x1"
34991,TJX2D16,166,C2_SEM_ESTOQUE,94,26,40,5,"Rolamento da roda x2 | Pneu traseiro x1 | Retentor da roda x2 | Roda traseira_v2 x1 | Válvula pneu x1"
35004,TJG7H83,34,C3_TEMPO_ALTO,121,55,101,11,"Garfo dianteiro x1 | Pastilha de freio traseiro x1 | Manete de freio traseiro x1 | Pista do rolamento inferior  x1 | Rolamento inferior da direção x1 | Usb 5W - CPX x1 | Usb 18W - COMFORT x1 | Manete de freio dianteiro x1 | Pastilha de freio dianteiro x1 | Sensor descanso x1 | Rolamento superior completo da direção x1"
35019,UFH2C82,1,C3_TEMPO_ALTO,125,54,95,7,"Pista do rolamento inferior  x1 | Garfo dianteiro x1 | Amortecedor traseiro x1 | Pastilha de freio dianteiro x1 | Rolamento da roda x2 | Rolamento superior completo da direção x1 | Retentor da roda x2"
35096,UFM8B96,1,C4_CAPACIDADE,92,92,173,3,"Chicote principal - COMFORT x1 | Usb 5W - CPX x1 | Amortecedor traseiro x1"
35097,SWM0C62,1,C4_CAPACIDADE,70,143,169,5,"Pastilha de freio traseiro x1 | Mangueira de freio frontal direta x1 | Pastilha de freio dianteiro x1 | Rolamento da roda x2 | Retentor da roda x2"
35099,URG6F56,34,C2_SEM_ESTOQUE,12,28,30,1,"Chapa do baú x1"
35107,TKD5B48,34,C3_TEMPO_ALTO,124,79,103,11,"Pastilha de freio traseiro x1 | Manete de freio traseiro x1 | Refletor lateral x1 | Roda traseira_v1 x1 | Velocímetro x1 | Buzina x1 | Pastilha de freio dianteiro x1 | Rolamento da roda x2 | Retentor da roda x2 | Roda traseira_v2 x1 | Válvula pneu x1"
35123,UEJ2B71,1,C2_SEM_ESTOQUE,23,31,50,5,"Pastilha de freio dianteiro x1 | Suporte de Placa de Ferro x1 | Suporte de placa Universal - Plástico x1 | Suporte da placa de metal Original x1 | Suporte celular x1"
35213,UQH1E51,34,C2_SEM_ESTOQUE,50,53,56,7,"Parafuso da bolha x4 | Suporte da bolha x1 | Bolha/Parabrisa x1 | Bau 93L x1 | Borracha de vedação Bolha x4 | Chapa do baú x1 | Suporte da bolha inferior (Parte superior mesa suspensão diant.) x1"
35220,UDF8H77,1,C2_SEM_ESTOQUE,61,61,84,3,"Tampa do motor COMFORT v2 x1 | Tampa do motor COMFORT v1 x1 | Rolamento da tampa do motor l/roda x1"
35235,UDN7A14,166,C3_TEMPO_ALTO,130,72,87,11,"Rolamento inferior da direção x1 | Carenagem dianteira direita COMFORT x1 | Amortecedor traseiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1 | Relê do pisca x1 | Rolamento da roda x2 | Retentor da roda x2 | Rolamento superior completo da direção x1 | Disco de freio traseiro x1 | Paralama traseiro x1"
35385,SVY2F09,166,C3_TEMPO_ALTO,125,94,108,11,"Mola principal - descanso lateral x1 | Disco de freio dianteiro x1 | Garfo dianteiro x1 | Pista do rolamento inferior  x1 | Descanso lateral x1 | Pastilha de freio dianteiro x2 | Rolamento da roda x2 | Pneu traseiro x1 | Retentor da roda x2 | Tampa do motor CPX x1 | Rolamento superior completo da direção x1"
35413,UDG0G32,34,C2_SEM_ESTOQUE,37,62,101,3,"Parafuso sextavado x1 | Rolamento da roda x2 | Retentor da roda x2"
35430,TLI4F76,34,C3_TEMPO_ALTO,125,101,127,9,"Pastilha de freio traseiro x1 | Disco de freio dianteiro x1 | Rolamento da tampa do motor l/roda x1 | Sensor de freio traseiro x1 | Suporte do paralama x1 | Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Tampa do motor CPX x1 | Sensor de freio dianteiro x1"
35469,STN4H07,1,C3_TEMPO_ALTO,130,141,171,11,"Pastilha de freio dianteiro x1 | Carenagem frontal x1 | Suporte pinça dianteira x1 | Válvula pneu x1 | Pneu traseiro x1 | Tampa do motor CPX x1 | Pastilha de freio traseiro x1 | Seta LD x1 | Roda traseira_v1 x1 | Rolamento da tampa do motor l/roda x1 | Acabamento frontal direito x1"
35534,UGU2D93,34,C2_SEM_ESTOQUE,35,57,95,7,"Bau 93L x1 | Refletor lateral x1 | Carenagem dianteira esquerda COMFORT x1 | Chapa do baú x1 | Bau 110L x1 | Carenagem frontal posterior PP x1 | Pneu traseiro x1"
35544,SWC9D93,1,C3_TEMPO_ALTO,165,106,145,6,"Disco de freio dianteiro x1 | Pinça de freio traseira x1 | Pneu traseiro x1 | Suporte da pinça traseira x1 | Parafuso guia da pinça traseira x2 | Motor 3500W x1"
